set F := F0 F1 F2 F3 F4;
set H := H0 H1 H2 H3 H4 H5 H6 H7 H8 H9;
set C := C0 C1 C2 C3 C4;
set S := S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S20 S21 S22 S23 S24 S25 S26 S27 S28 S29 S30 S31 S32 S33 S34 S35 S36 S37 S38 S39 S40 S41 S42 S43 S44 S45 S46 S47 S48 S49;

param b := 
 F0 64
 F1 46
 F2 109
 F3 72
 F4 85
;

param u := 
 F0 H0 3
 F0 H1 2
 F0 H2 5
 F0 H3 5
 F0 H4 2
 F0 H5 2
 F0 H6 5
 F0 H7 6
 F0 H8 2
 F0 H9 4
 F1 H0 5
 F1 H1 1
 F1 H2 4
 F1 H3 5
 F1 H4 3
 F1 H5 2
 F1 H6 3
 F1 H7 4
 F1 H8 4
 F1 H9 3
 F2 H0 3
 F2 H1 3
 F2 H2 3
 F2 H3 12
 F2 H4 10
 F2 H5 10
 F2 H6 5
 F2 H7 2
 F2 H8 7
 F2 H9 2
 F3 H0 5
 F3 H1 3
 F3 H2 3
 F3 H3 3
 F3 H4 5
 F3 H5 5
 F3 H6 5
 F3 H7 3
 F3 H8 4
 F3 H9 2
 F4 H0 9
 F4 H1 1
 F4 H2 1
 F4 H3 9
 F4 H4 9
 F4 H5 9
 F4 H6 9
 F4 H7 6
 F4 H8 4
 F4 H9 2
 H0 C0 3
 H0 C1 5
 H0 C2 5
 H0 C3 2
 H0 C4 5
 H1 C0 1
 H1 C1 1
 H1 C2 2
 H1 C3 1
 H1 C4 2
 H2 C0 3
 H2 C1 3
 H2 C2 2
 H2 C3 4
 H2 C4 2
 H3 C0 9
 H3 C1 7
 H3 C2 7
 H3 C3 7
 H3 C4 7
 H4 C0 5
 H4 C1 3
 H4 C2 8
 H4 C3 5
 H4 C4 8
 H5 C0 8
 H5 C1 8
 H5 C2 7
 H5 C3 3
 H5 C4 3
 H6 C0 4
 H6 C1 6
 H6 C2 4
 H6 C3 5
 H6 C4 4
 H7 C0 4
 H7 C1 5
 H7 C2 5
 H7 C3 5
 H7 C4 3
 H8 C0 2
 H8 C1 4
 H8 C2 4
 H8 C3 6
 H8 C4 3
 H9 C0 3
 H9 C1 2
 H9 C2 2
 H9 C3 2
 H9 C4 2
;
param d := 
 C0 S0 0
 C0 S1 240
 C0 S2 165
 C0 S3 41
 C0 S4 145
 C0 S5 230
 C0 S6 40
 C0 S7 0
 C0 S8 135
 C0 S9 10
 C0 S10 27
 C0 S11 39
 C0 S12 18
 C0 S13 22
 C0 S14 0
 C0 S15 0
 C0 S16 28
 C0 S17 40
 C0 S18 0
 C0 S19 13
 C0 S20 210
 C0 S21 0
 C0 S22 0
 C0 S23 0
 C0 S24 50
 C0 S25 14
 C0 S26 13
 C0 S27 0
 C0 S28 225
 C0 S29 48
 C0 S30 45
 C0 S31 0
 C0 S32 9
 C0 S33 40
 C0 S34 31
 C0 S35 20
 C0 S36 0
 C0 S37 46
 C0 S38 90
 C0 S39 0
 C0 S40 37
 C0 S41 49
 C0 S42 38
 C0 S43 13
 C0 S44 12
 C0 S45 25
 C0 S46 42
 C0 S47 46
 C0 S48 0
 C0 S49 34
 C1 S0 70
 C1 S1 48
 C1 S2 0
 C1 S3 39
 C1 S4 0
 C1 S5 8
 C1 S6 50
 C1 S7 110
 C1 S8 19
 C1 S9 48
 C1 S10 12
 C1 S11 0
 C1 S12 21
 C1 S13 150
 C1 S14 11
 C1 S15 11
 C1 S16 105
 C1 S17 0
 C1 S18 0
 C1 S19 26
 C1 S20 160
 C1 S21 60
 C1 S22 47
 C1 S23 0
 C1 S24 32
 C1 S25 32
 C1 S26 27
 C1 S27 16
 C1 S28 12
 C1 S29 0
 C1 S30 16
 C1 S31 235
